site,edition,classification,t,n,m,grade,location,stage,note,source_pdf_page,source_site,raw_line,extract_method,needs_review
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,T0|T1|T2|,N3,M0,Any,Any,II,source_page=39; extract_method=stage_carried; extra_factors/raw_extra=III,39,HPV-Mediated (p16+) Oropharyngeal Cancer,"T0, T1, T2, N3 M0 III",stage_carried,YES
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,T0|T1|T2|,N3,M0,Any,Any,III,source_page=39; extract_method=tnm_stage,39,HPV-Mediated (p16+) Oropharyngeal Cancer,"T0, T1, T2, N3 M0 III",tnm_stage,check
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,T4,N0|N1|N2or,M0,Any,Any,III,source_page=39; extract_method=stage_carried; extra_factors/raw_extra=III; duplicate_source_page=39,39,HPV-Mediated (p16+) Oropharyngeal Cancer,"T4 N0, N1, N2 or M0 III",stage_carried,YES
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,T0|T1|T2,N0|N1,M0,Any,Any,III,source_page=39; extract_method=stage_carried; extra_factors/raw_extra=I,39,HPV-Mediated (p16+) Oropharyngeal Cancer,"T0, T1 or T2 N0, N1 M0 I",stage_carried,YES
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,T3|T4,N2,M0,Any,Any,I,source_page=39; extract_method=stage_carried; extra_factors/raw_extra=III,39,HPV-Mediated (p16+) Oropharyngeal Cancer,T3 or T4 N2 M0 III,stage_carried,YES
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,T3|T4,N2,M0,Any,Any,III,source_page=39; extract_method=tnm_stage,39,HPV-Mediated (p16+) Oropharyngeal Cancer,T3 or T4 N2 M0 III,tnm_stage,check
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,Any,Any,M1,Any,Any,III,source_page=39; extract_method=stage_carried; extra_factors/raw_extra=IV,39,HPV-Mediated (p16+) Oropharyngeal Cancer,Any T Any N M1 IV,stage_carried,YES
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,Any,Any,M1,Any,Any,IV,source_page=39; extract_method=tnm_stage,39,HPV-Mediated (p16+) Oropharyngeal Cancer,Any T Any N M1 IV,tnm_stage,check
Nasal Cavity and Paranasal Sinuses,AJCC8,any,T1,N0,M0,Any,Any,I,source_page=47; extract_method=tnm_stage,47,Nasal Cavity and Paranasal Sinuses,T1 N0 M0 I,tnm_stage,check
Larynx,AJCC8,any,Tis,N0,M0,Any,Any,0,source_page=49; extract_method=tnm_stage,49,Larynx,Tis N0 M0 0,tnm_stage,check
Larynx,AJCC8,any,T1|T2|T3|T4a,N2,M0,Any,Any,0,source_page=49; extract_method=stage_carried; extra_factors/raw_extra=IVA,49,Larynx,"T1, T2, T3, T4a N2 M0 IVA",stage_carried,YES
Larynx,AJCC8,any,T1|T2|T3|T4a,N2,M0,Any,Any,IVA,source_page=49; extract_method=tnm_stage,49,Larynx,"T1, T2, T3, T4a N2 M0 IVA",tnm_stage,check
Cutaneous Carcinoma of the Head and Neck,AJCC8,yp,Tis,N0,M0,Any,Any,0,source_page=57; extract_method=tnm_stage,57,Cutaneous Carcinoma of the Head and Neck,Tis N0 M0 0,tnm_stage,check
Cutaneous Carcinoma of the Head and Neck,AJCC8,yp,T1,N0,M0,Any,Any,0,source_page=57; extract_method=stage_carried; extra_factors/raw_extra=I,57,Cutaneous Carcinoma of the Head and Neck,T1 N0 M0 I,stage_carried,YES
Cutaneous Carcinoma of the Head and Neck,AJCC8,yp,T1,N0,M0,Any,Any,I,source_page=57; extract_method=tnm_stage,57,Cutaneous Carcinoma of the Head and Neck,T1 N0 M0 I,tnm_stage,check
Cutaneous Carcinoma of the Head and Neck,AJCC8,yp,T2,N0,M0,Any,Any,I,source_page=57; extract_method=stage_carried; extra_factors/raw_extra=II,57,Cutaneous Carcinoma of the Head and Neck,T2 N0 M0 II,stage_carried,YES
Cutaneous Carcinoma of the Head and Neck,AJCC8,yp,T2,N0,M0,Any,Any,II,source_page=57; extract_method=tnm_stage,57,Cutaneous Carcinoma of the Head and Neck,T2 N0 M0 II,tnm_stage,check
Cutaneous Carcinoma of the Head and Neck,AJCC8,yp,T3,N0,M0,Any,Any,II,source_page=57; extract_method=stage_carried; extra_factors/raw_extra=III,57,Cutaneous Carcinoma of the Head and Neck,T3 N0 M0 III,stage_carried,YES
Cutaneous Carcinoma of the Head and Neck,AJCC8,yp,T3,N0,M0,Any,Any,III,source_page=57; extract_method=tnm_stage,57,Cutaneous Carcinoma of the Head and Neck,T3 N0 M0 III,tnm_stage,check
Cutaneous Carcinoma of the Head and Neck,AJCC8,yp,T1,N1,M0,Any,Any,III,source_page=57; extract_method=stage_carried; extra_factors/raw_extra=III; duplicate_source_page=57,57,Cutaneous Carcinoma of the Head and Neck,T1 N1 M0 III,stage_carried,YES
Cutaneous Carcinoma of the Head and Neck,AJCC8,yp,T2,N1,M0,Any,Any,III,source_page=57; extract_method=stage_carried; extra_factors/raw_extra=III | Bibliography; duplicate_source_page=57,57,Cutaneous Carcinoma of the Head and Neck,T2 N1 M0 III Bibliography,stage_carried,YES
Cutaneous Carcinoma of the Head and Neck,AJCC8,yp,T3,N1,M0,Any,Any,III,source_page=57; extract_method=stage_carried; extra_factors/raw_extra=III; duplicate_source_page=57,57,Cutaneous Carcinoma of the Head and Neck,T3 N1 M0 III,stage_carried,YES
Cutaneous Carcinoma of the Head and Neck,AJCC8,yp,T1,N2,M0,Any,Any,III,"source_page=57; extract_method=stage_carried; extra_factors/raw_extra=IV | 1. Diepgen TL, Mahler V. The epidemiology of skin cancer. Br",57,Cutaneous Carcinoma of the Head and Neck,"T1 N2 M0 IV 1. Diepgen TL, Mahler V. The epidemiology of skin cancer. Br",stage_carried,YES
