edition,site,source_site,start_pdf_page,end_pdf_page,extracted_rule_rows,status
AJCC8,Neuroendocrine Tumors of the Jejunum and Ileum,Neuroendocrine Tumors of the Jejunum and Ileum,83,84,17,rules_extracted_needs_committee_review
AJCC8,Neuroendocrine Tumors of the Appendix,Neuroendocrine Tumors of the Appendix,85,88,21,rules_extracted_needs_committee_review
AJCC8,Neuroendocrine Tumors of the Colon and Rectum,Neuroendocrine Tumors of the Colon and Rectum,89,91,13,rules_extracted_needs_committee_review
AJCC8,Neuroendocrine Tumors of the Pancreas,Neuroendocrine Tumors of the Pancreas,92,93,0,site_registered_no_tnm_rows_extracted
AJCC8,Thymus,Thymus,94,95,0,site_registered_no_tnm_rows_extracted
AJCC8,Lung,Lung,96,96,0,site_registered_no_tnm_rows_extracted
AJCC8,Malignant Pleural Mesothelioma,Malignant Pleural Mesothelioma,97,98,0,site_registered_no_tnm_rows_extracted
AJCC8,Bone,Bone,99,99,0,site_registered_no_tnm_rows_extracted
AJCC8,Introduction to Soft Tissue Sarcoma,Introduction to Soft Tissue Sarcoma,100,100,0,site_registered_no_tnm_rows_extracted
AJCC8,Soft Tissue Sarcoma of the Head and Neck,Soft Tissue Sarcoma of the Head and Neck,101,102,0,site_registered_no_tnm_rows_extracted
AJCC8,Soft Tissue Sarcoma of the Trunk and Extremities,Soft Tissue Sarcoma of the Trunk and Extremities,103,104,0,site_registered_no_tnm_rows_extracted
AJCC8,Soft Tissue Sarcoma of the Abdomen and Thoracic Visceral Organs,Soft Tissue Sarcoma of the Abdomen and Thoracic Visceral Organs,105,106,0,site_registered_no_tnm_rows_extracted
AJCC8,Gastrointestinal Stromal Tumor,Gastrointestinal Stromal Tumor,107,109,0,site_registered_no_tnm_rows_extracted
AJCC8,Soft Tissue Sarcoma of the Retroperitoneum,Soft Tissue Sarcoma of the Retroperitoneum,110,111,0,site_registered_no_tnm_rows_extracted
AJCC8,Soft Tissue Sarcoma - Unusual Histologies and Sites,Soft Tissue Sarcoma - Unusual Histologies and Sites,112,114,0,site_registered_no_tnm_rows_extracted
AJCC8,Merkel Cell Carcinoma,Merkel Cell Carcinoma,115,115,0,site_registered_no_tnm_rows_extracted
AJCC8,Melanoma of the Skin,Melanoma of the Skin,116,118,0,site_registered_no_tnm_rows_extracted
AJCC8,Breast,Breast,119,166,34,rules_extracted_needs_committee_review
AJCC8,Vulva,Vulva,167,170,3,rules_extracted_needs_committee_review
AJCC8,Vagina,Vagina,171,173,0,site_registered_no_tnm_rows_extracted
AJCC8,Cervix Uteri,Cervix Uteri,174,175,0,site_registered_no_tnm_rows_extracted
AJCC8,Corpus Uteri - Carcinoma and Carcinosarcoma,Corpus Uteri - Carcinoma and Carcinosarcoma,176,177,0,site_registered_no_tnm_rows_extracted
AJCC8,Corpus Uteri - Sarcoma,Corpus Uteri - Sarcoma,178,181,22,rules_extracted_needs_committee_review
AJCC8,"Ovary, Fallopian Tube, and Primary Peritoneal Carcinoma","Ovary, Fallopian Tube, and Primary Peritoneal Carcinoma",182,184,4,rules_extracted_needs_committee_review
AJCC8,Gestational Trophoblastic Neoplasms,Gestational Trophoblastic Neoplasms,185,185,0,site_registered_no_tnm_rows_extracted
AJCC8,Penis,Penis,186,187,5,rules_extracted_needs_committee_review
AJCC8,Prostate,Prostate,188,190,6,rules_extracted_needs_committee_review
AJCC8,Testis,Testis,191,193,0,site_registered_no_tnm_rows_extracted
AJCC8,Kidney,Kidney,194,196,12,rules_extracted_needs_committee_review
AJCC8,Renal Pelvis and Ureter,Renal Pelvis and Ureter,197,199,9,rules_extracted_needs_committee_review
AJCC8,Urinary Bladder,Urinary Bladder,200,202,18,rules_extracted_needs_committee_review
AJCC8,Urethra,Urethra,203,205,13,rules_extracted_needs_committee_review
AJCC8,Eyelid Carcinoma,Eyelid Carcinoma,206,208,5,rules_extracted_needs_committee_review
AJCC8,Conjunctival Carcinoma,Conjunctival Carcinoma,209,210,0,site_registered_no_tnm_rows_extracted
AJCC8,Conjunctival Melanoma,Conjunctival Melanoma,211,213,0,site_registered_no_tnm_rows_extracted
AJCC8,Uveal Melanoma,Uveal Melanoma,214,216,19,rules_extracted_needs_committee_review
AJCC8,Retinoblastoma,Retinoblastoma,217,220,6,rules_extracted_needs_committee_review
AJCC8,Lacrimal Gland Carcinoma,Lacrimal Gland Carcinoma,221,222,0,site_registered_no_tnm_rows_extracted
AJCC8,Orbital Sarcoma,Orbital Sarcoma,223,224,0,site_registered_no_tnm_rows_extracted
AJCC8,Ocular Adnexal Lymphoma,Ocular Adnexal Lymphoma,225,227,0,site_registered_no_tnm_rows_extracted
AJCC8,Brain and Spinal Cord,Brain and Spinal Cord,228,230,0,site_registered_no_tnm_rows_extracted
AJCC8,Thyroid - Differentiated and Anaplastic Carcinoma,Thyroid - Differentiated and Anaplastic Carcinoma,231,235,7,rules_extracted_needs_committee_review
AJCC8,Thyroid - Medullary,Thyroid - Medullary,236,239,1,rules_extracted_needs_committee_review
AJCC8,Parathyroid,Parathyroid,240,240,0,site_registered_no_tnm_rows_extracted
AJCC8,Adrenal Cortical Carcinoma,Adrenal Cortical Carcinoma,241,242,0,site_registered_no_tnm_rows_extracted
AJCC8,Adrenal - Neuroendocrine Tumors,Adrenal - Neuroendocrine Tumors,243,243,0,site_registered_no_tnm_rows_extracted
AJCC8,Hodgkin and Non-Hodgkin Lymphomas,Hodgkin and Non-Hodgkin Lymphomas,244,246,0,site_registered_no_tnm_rows_extracted
AJCC8,Pediatric Hodgkin and Non-Hodgkin Lymphomas,Pediatric Hodgkin and Non-Hodgkin Lymphomas,247,248,0,site_registered_no_tnm_rows_extracted
AJCC8,Primary Cutaneous Lymphomas,Primary Cutaneous Lymphomas,249,253,3,rules_extracted_needs_committee_review
AJCC8,Plasma Cell Myeloma and Plasma Cell Disorders,Plasma Cell Myeloma and Plasma Cell Disorders,254,255,0,site_registered_no_tnm_rows_extracted
AJCC8,Leukemia,Leukemia,256,258,0,site_registered_no_tnm_rows_extracted
