site,edition,classification,category_type,category,short_definition,detail_note,verification_status,source_pdf_page,source_section,definition_origin
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,clinical,N,N0,No regional lymph node metastasis,,strict_table_extracted_v1_6,39,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,clinical,N,N1,"One or more ipsilateral lymph nodes, none larger than 6 cm",,strict_table_extracted_v1_6,39,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,clinical,N,N2,"Contralateral or bilateral lymph nodes, none larger than 6 cm",,strict_table_extracted_v1_6,39,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,pathological,N,N3,Lymph node(s) larger than 6 cm Pathological N (pN),,strict_table_extracted_v1_6,39,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,pathological,N,NX,Regional lymph nodes cannot be assessed,,strict_table_extracted_v1_6,39,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,pathological,N,N0,No regional lymph node metastasis,,strict_table_extracted_v1_6,39,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,pathological,N,N1,Metastasis in 4 or fewer lymph nodes,,strict_table_extracted_v1_6,39,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,pathological,N,N2,Metastasis in more than 4 lymph nodes,,strict_table_extracted_v1_6,39,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,M,M0,No distant metastasis,,strict_table_extracted_v1_6,39,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC8,any,M,M1,Distant metastasis,,strict_table_extracted_v1_6,39,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Oropharynx (p16-) and Hypopharynx,AJCC8,pathological,T,T4,Moderately advanced or very advanced local disease,,strict_table_extracted_v1_6,43,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Oropharynx (p16-) and Hypopharynx,AJCC8,pathological,T,T4a,"Moderately advanced local disease Tumor invades the larynx, extrinsic muscle of tongue, medial pterygoid, hard palate, or mandible*",,strict_table_extracted_v1_6,43,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Oropharynx (p16-) and Hypopharynx,AJCC8,pathological,T,T4b,"Very advanced local disease Tumor invades lateral pterygoid muscle, pterygoid plates, lateral nasopharynx, or skull base or encases carotid artery tumors of the base of the tongue and vallecula does not constitute inva- sion of the larynx Hypopharynx",,strict_table_extracted_v1_6,43,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Oropharynx (p16-) and Hypopharynx,AJCC8,pathological,T,TX,Primary tumor cannot be assessed,,strict_table_extracted_v1_6,43,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Oropharynx (p16-) and Hypopharynx,AJCC8,pathological,T,Tis,Carcinoma in situ,,strict_table_extracted_v1_6,43,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Oropharynx (p16-) and Hypopharynx,AJCC8,clinical,T,T1,Tumor limited to one subsite of hypopharynx and/or 2 cm or smaller in greatest dimension,,strict_table_extracted_v1_6,43,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Oropharynx (p16-) and Hypopharynx,AJCC8,clinical,T,T2,"Tumor invades more than one subsite of hypopharynx or an adjacent site, or measures larger than 2 cm but not larger than 4 cm in greatest dimension without fixation of hemilarynx",,strict_table_extracted_v1_6,43,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Oropharynx (p16-) and Hypopharynx,AJCC8,clinical,T,T3,Tumor larger than 4 cm in greatest dimension or with fixation of hemilarynx or extension to esophageal mucosa,,strict_table_extracted_v1_6,43,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Oropharynx (p16-) and Hypopharynx,AJCC8,clinical,T,T4,Moderately advanced and very advanced local disease,,strict_table_extracted_v1_6,43,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Oropharynx (p16-) and Hypopharynx,AJCC8,clinical,T,T4a,"Moderately advanced local disease Tumor invades thyroid/cricoid cartilage, hyoid bone, thyroid gland, esophageal muscle or central compartment soft tissue*",,strict_table_extracted_v1_6,43,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Oropharynx (p16-) and Hypopharynx,AJCC8,clinical,T,T4b,"Very advanced local disease Tumor invades prevertebral fascia, encases carotid artery, or involves mediastinal structures muscles and subcutaneous fat",,strict_table_extracted_v1_6,43,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Oropharynx (p16-) and Hypopharynx,AJCC8,clinical,N,NX,Regional lymph nodes cannot be assessed,,strict_table_extracted_v1_6,43,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Oropharynx (p16-) and Hypopharynx,AJCC8,clinical,N,N0,No regional lymph node metastasis,,strict_table_extracted_v1_6,43,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Oropharynx (p16-) and Hypopharynx,AJCC8,clinical,N,N1,"Metastasis in a single ipsilateral lymph node, 3 cm or smaller in greatest dimension and ENE(−)",,strict_table_extracted_v1_6,43,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Oropharynx (p16-) and Hypopharynx,AJCC8,clinical,N,N2,"Metastasis in a single ipsilateral lymph node, 3 cm or smaller in greatest dimension and ENE(+); or larger than 3 cm but not larger than 6 cm in greatest dimension and ENE(−); or metastases in multiple ipsilateral lymph nodes, none larger than 6 cm in greatest dimension and ENE(−); or in bilateral or contralateral lymph node(s), none larger than 6 cm in greatest dimension and ENE(−)",,strict_table_extracted_v1_6,43,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Oropharynx (p16-) and Hypopharynx,AJCC8,clinical,N,N2a,Metastasis in single ipsilateral node 3 cm or smaller in greatest dimension and ENE(+); or a single ipsilateral node larger than 3 cm but not larger than 6 cm in greatest dimension and ENE(−),,strict_table_extracted_v1_6,43,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Oropharynx (p16-) and Hypopharynx,AJCC8,clinical,N,N2b,"Metastasis in multiple ipsilateral nodes, none larger than 6 cm in greatest dimension and ENE(−)",,strict_table_extracted_v1_6,43,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Oropharynx (p16-) and Hypopharynx,AJCC8,clinical,N,N2c,"Metastasis in bilateral or contralateral lymph node(s), none larger than 6 cm in greatest dimension and ENE(−)",,strict_table_extracted_v1_6,43,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
