edition,source_pdf_page,site,source_site,line_no,raw_line,columns_json
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,22,"of the alveolar ridge (upper and lower) and pterygomandibu- It is composed of four areas: the tip, the lateral borders, the","[""of the alveolar ridge (upper and lower) and pterygomandibu-"", ""It is composed of four areas: the tip, the lateral borders, the""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,23,"lar raphe. dorsum, and the undersurface (nonvillous ventral surface of","[""lar raphe."", ""dorsum, and the undersurface (nonvillous ventral surface of""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,24,the tongue). The undersurface of the tongue is considered a,"[""the tongue). The undersurface of the tongue is considered a""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,25,Lower Alveolar Ridge. This refers to the mucosa overlying the separate category by the World Health Organization.,"[""Lower Alveolar Ridge. This refers to the mucosa overlying the"", ""separate category by the World Health Organization.""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,26,"alveolar process of the mandible, which extends from the line","[""alveolar process of the mandible, which extends from the line""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,27,of attachment of mucosa in the lower gingivobuccal sulcus to,"[""of attachment of mucosa in the lower gingivobuccal sulcus to""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,28,the line of free mucosa of the floor of the mouth. Posteriorly CHARACTERISTICS OF TUMOR,"[""the line of free mucosa of the floor of the mouth. Posteriorly"", ""CHARACTERISTICS OF TUMOR""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,29,it extends to the ascending ramus of the mandible.,"[""it extends to the ascending ramus of the mandible.""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,30,Endophytic. The tumor thickness measurement using an,"[""Endophytic. The tumor thickness measurement using an""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,31,Upper Alveolar Ridge. This refers to the mucosa overlying the ocular micrometer is taken perpendicular from the surface,"[""Upper Alveolar Ridge. This refers to the mucosa overlying the"", ""ocular micrometer is taken perpendicular from the surface""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,32,"alveolar process of the maxilla, which extends from the line of the invasive squamous cell carcinoma (A) to the deepest","[""alveolar process of the maxilla, which extends from the line"", ""of the invasive squamous cell carcinoma (A) to the deepest""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,33,of attachment of mucosa in the upper gingivobuccal sulcus area of involvement (B) and recorded in millimeters. The,"[""of attachment of mucosa in the upper gingivobuccal sulcus"", ""area of involvement (B) and recorded in millimeters. The""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,34,to the junction of the hard palate. Its posterior margin is the measurement should not be done on tangential sections or,"[""to the junction of the hard palate. Its posterior margin is the"", ""measurement should not be done on tangential sections or""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,35,upper end of the pterygopalatine arch. in lesions without a clearly recognizable surface component,"[""upper end of the pterygopalatine arch."", ""in lesions without a clearly recognizable surface component""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,36,(Figure 3.1a-c).,"[""(Figure 3.1a-c).""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,37,Retromolar Gingiva (Retromolar Trigone). This is the,"[""Retromolar Gingiva (Retromolar Trigone). This is the""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,38,attached mucosa overlying the ascending ramus of the man- Exophytic. The measurement that is better characterized as,"[""attached mucosa overlying the ascending ramus of the man-"", ""Exophytic. The measurement that is better characterized as""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,39,dible from the level of the posterior surface of the last molar tumor thickness rather than depth of invasion is taken from,"[""dible from the level of the posterior surface of the last molar"", ""tumor thickness rather than depth of invasion is taken from""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,40,"tooth to the apex superiorly, adjacent to the tuberosity of the the surface (A) to the deepest area (B).","[""tooth to the apex superiorly, adjacent to the tuberosity of the"", ""the surface (A) to the deepest area (B).""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,41,maxilla.,"[""maxilla.""]"
AJCC7,46,Lip and Oral Cavity,Lip and Oral Cavity,42,Ulcerated. The thickness measurement is taken from the,"[""Ulcerated. The thickness measurement is taken from the""]"
