group_order,site_group,site_order,site,display_label
120,Endocrine / 內分泌,82,Thyroid – Anaplastic,Thyroid – Anaplastic
120,Endocrine / 內分泌,83,Thyroid – Medullary,Thyroid – Medullary
120,Endocrine / 內分泌,84,Parathyroid,Parathyroid
120,Endocrine / 內分泌,85,Adrenal Cortical Carcinoma,Adrenal Cortical Carcinoma
120,Endocrine / 內分泌,86,Adrenal – Neuroendocrine Tumors,Adrenal – Neuroendocrine Tumors
130,Hematologic & Lymphoid / 血液淋巴,87,Non-Hodgkin Lymphomas: Unspecified or Other Type,Non-Hodgkin Lymphomas: Unspecified or Other Type
130,Hematologic & Lymphoid / 血液淋巴,88,Non-Hodgkin Lymphomas: Diffuse Large B Cell Lymphoma,Non-Hodgkin Lymphomas: Diffuse Large B Cell Lymphoma
130,Hematologic & Lymphoid / 血液淋巴,89,Non-Hodgkin Lymphomas: Mantle Cell Lymphoma,Non-Hodgkin Lymphomas: Mantle Cell Lymphoma
130,Hematologic & Lymphoid / 血液淋巴,90,Non-Hodgkin Lymphomas: Follicular Lymphoma,Non-Hodgkin Lymphomas: Follicular Lymphoma
130,Hematologic & Lymphoid / 血液淋巴,91,Non-Hodgkin Lymphomas: Marginal Zone Lymphoma,Non-Hodgkin Lymphomas: Marginal Zone Lymphoma
130,Hematologic & Lymphoid / 血液淋巴,92,Non-Hodgkin Lymphomas: Chronic Lymphocytic Leukemia and Small Lymphocytic,Non-Hodgkin Lymphomas: Chronic Lymphocytic Leukemia and Small Lymphocytic
130,Hematologic & Lymphoid / 血液淋巴,93,Non-Hodgkin Lymphomas: Peripheral T-cell Lymphoma,Non-Hodgkin Lymphomas: Peripheral T-cell Lymphoma
130,Hematologic & Lymphoid / 血液淋巴,94,Hodgkin Lymphoma,Hodgkin Lymphoma
130,Hematologic & Lymphoid / 血液淋巴,95,Pediatric Hodgkin Lymphoma,Pediatric Hodgkin Lymphoma
130,Hematologic & Lymphoid / 血液淋巴,96,Pediatric Non-Hodgkin Lymphoma,Pediatric Non-Hodgkin Lymphoma
130,Hematologic & Lymphoid / 血液淋巴,97,Primary Cutaneous Lymphoma: Mycosis Fungoides and Sézary Syndrome,Primary Cutaneous Lymphoma: Mycosis Fungoides and Sézary Syndrome
130,Hematologic & Lymphoid / 血液淋巴,98,Primary Cutaneous Lymphoma: Primary Cutaneous B-Cell/T-Cell (non-MF/SS),Primary Cutaneous Lymphoma: Primary Cutaneous B-Cell/T-Cell (non-MF/SS)
130,Hematologic & Lymphoid / 血液淋巴,99,Plasma Cell Myeloma and Plasma Cell Disorders,Plasma Cell Myeloma and Plasma Cell Disorders
