site,edition,classification,category_type,category,definition_found_exact,definition_found_parent,status
NET - jejunum / ileum,AJCC7,any,T,T2,True,False,PASS
NET - jejunum / ileum,AJCC7,any,T,T3,True,False,PASS
NET - jejunum / ileum,AJCC7,any,T,T4,True,False,PASS
NET - jejunum / ileum,AJCC7,any,T,Tis,True,False,PASS
NET - appendix,AJCC7,clinical,M,M1,True,False,PASS
NET - appendix,AJCC7,clinical,N,N1,True,False,PASS
NET - appendix,AJCC7,clinical,M,M0,True,False,PASS
NET - appendix,AJCC7,clinical,T,T1,True,False,PASS
NET - appendix,AJCC7,clinical,N,N0,True,False,PASS
NET - appendix,AJCC7,clinical,T,T2,True,False,PASS
NET - appendix,AJCC7,clinical,T,T3,True,False,PASS
NET - appendix,AJCC7,clinical,T,T4,True,False,PASS
NET - appendix,AJCC7,pathological,M,M1,True,False,PASS
NET - appendix,AJCC7,pathological,N,N1,True,False,PASS
NET - appendix,AJCC7,pathological,M,M0,True,False,PASS
NET - appendix,AJCC7,pathological,T,T1,True,False,PASS
NET - appendix,AJCC7,pathological,N,N0,True,False,PASS
NET - appendix,AJCC7,pathological,T,T2,True,False,PASS
NET - appendix,AJCC7,pathological,T,T3,True,False,PASS
NET - appendix,AJCC7,pathological,T,T4,True,False,PASS
NET - colon / rectum,AJCC7,any,M,M1,True,False,PASS
NET - colon / rectum,AJCC7,any,N,N1,True,False,PASS
NET - colon / rectum,AJCC7,any,M,M0,True,False,PASS
NET - colon / rectum,AJCC7,any,T,T1,True,False,PASS
NET - colon / rectum,AJCC7,any,N,N0,True,False,PASS
NET - colon / rectum,AJCC7,any,T,T2,True,False,PASS
NET - colon / rectum,AJCC7,any,T,T3,True,False,PASS
NET - colon / rectum,AJCC7,any,T,T4,True,False,PASS
NET - colon / rectum,AJCC7,any,T,Tis,True,False,PASS
NET - pancreas,AJCC7,clinical,M,M1,True,False,PASS
NET - pancreas,AJCC7,clinical,T,T1,True,False,PASS
NET - pancreas,AJCC7,clinical,N,N0,True,False,PASS
NET - pancreas,AJCC7,clinical,M,M0,True,False,PASS
NET - pancreas,AJCC7,clinical,T,T2,True,False,PASS
NET - pancreas,AJCC7,clinical,T,T3,True,False,PASS
NET - pancreas,AJCC7,clinical,N,N1,True,False,PASS
NET - pancreas,AJCC7,clinical,T,T4,True,False,PASS
NET - pancreas,AJCC7,clinical,T,Tis,True,False,PASS
NET - pancreas,AJCC7,pathological,M,M1,True,False,PASS
NET - pancreas,AJCC7,pathological,T,T1,True,False,PASS
NET - pancreas,AJCC7,pathological,N,N0,True,False,PASS
NET - pancreas,AJCC7,pathological,M,M0,True,False,PASS
NET - pancreas,AJCC7,pathological,T,T2,True,False,PASS
NET - pancreas,AJCC7,pathological,T,T3,True,False,PASS
NET - pancreas,AJCC7,pathological,N,N1,True,False,PASS
NET - pancreas,AJCC7,pathological,T,T4,True,False,PASS
NET - pancreas,AJCC7,pathological,T,Tis,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,clinical,M,M1,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,clinical,N,N3,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,clinical,M,M0,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,clinical,T,T1,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,clinical,N,N0,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,clinical,N,N1,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,clinical,T,T2,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,clinical,T,T3,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,clinical,N,N2,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,clinical,T,T4,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,clinical,T,T4a,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,clinical,T,T4b,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,clinical,T,Tis,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,pathological,M,M1,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,pathological,N,N3,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,pathological,M,M0,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,pathological,T,T1,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,pathological,N,N1,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,pathological,N,N2,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,pathological,T,T1a,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,pathological,N,N0,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,pathological,T,T1b,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,pathological,T,T2,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,pathological,T,T3,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,pathological,T,T4a,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,pathological,T,T4b,True,False,PASS
Esophagus / EGJ - squamous,AJCC8,pathological,T,Tis,True,False,PASS
Esophagus / EGJ - adenocarcinoma,AJCC8,clinical,M,M1,True,False,PASS
Esophagus / EGJ - adenocarcinoma,AJCC8,clinical,N,N3,True,False,PASS
Esophagus / EGJ - adenocarcinoma,AJCC8,clinical,M,M0,True,False,PASS
Esophagus / EGJ - adenocarcinoma,AJCC8,clinical,T,T1,True,False,PASS
Esophagus / EGJ - adenocarcinoma,AJCC8,clinical,N,N0,True,False,PASS
Esophagus / EGJ - adenocarcinoma,AJCC8,clinical,N,N1,True,False,PASS
Esophagus / EGJ - adenocarcinoma,AJCC8,clinical,T,T2,True,False,PASS
Esophagus / EGJ - adenocarcinoma,AJCC8,clinical,T,T3,True,False,PASS
Esophagus / EGJ - adenocarcinoma,AJCC8,clinical,T,T4a,True,False,PASS
Esophagus / EGJ - adenocarcinoma,AJCC8,clinical,N,N2,True,False,PASS
Esophagus / EGJ - adenocarcinoma,AJCC8,clinical,T,T4b,True,False,PASS
Esophagus / EGJ - adenocarcinoma,AJCC8,clinical,T,Tis,True,False,PASS
Esophagus / EGJ - adenocarcinoma,AJCC8,pathological,M,M1,True,False,PASS
Esophagus / EGJ - adenocarcinoma,AJCC8,pathological,N,N3,True,False,PASS
Esophagus / EGJ - adenocarcinoma,AJCC8,pathological,M,M0,True,False,PASS
Esophagus / EGJ - adenocarcinoma,AJCC8,pathological,T,T1,True,False,PASS
Esophagus / EGJ - adenocarcinoma,AJCC8,pathological,N,N0,True,False,PASS
Esophagus / EGJ - adenocarcinoma,AJCC8,pathological,N,N1,True,False,PASS
Esophagus / EGJ - adenocarcinoma,AJCC8,pathological,N,N2,True,False,PASS
Esophagus / EGJ - adenocarcinoma,AJCC8,pathological,T,T2,True,False,PASS
Esophagus / EGJ - adenocarcinoma,AJCC8,pathological,T,T3,True,False,PASS
Esophagus / EGJ - adenocarcinoma,AJCC8,pathological,T,T4a,True,False,PASS
Esophagus / EGJ - adenocarcinoma,AJCC8,pathological,T,T4b,True,False,PASS
Esophagus / EGJ - adenocarcinoma,AJCC8,pathological,T,Tis,True,False,PASS
Stomach,AJCC8,clinical,M,M1,True,False,PASS
Stomach,AJCC8,clinical,T,T1,True,False,PASS
Stomach,AJCC8,clinical,N,N0,True,False,PASS
Stomach,AJCC8,clinical,M,M0,True,False,PASS
Stomach,AJCC8,clinical,N,N1,True,False,PASS
Stomach,AJCC8,clinical,N,N2,True,False,PASS
Stomach,AJCC8,clinical,N,N3,True,False,PASS
Stomach,AJCC8,clinical,T,T2,True,False,PASS
Stomach,AJCC8,clinical,T,T3,True,False,PASS
Stomach,AJCC8,clinical,T,T4a,True,False,PASS
Stomach,AJCC8,clinical,T,T4b,True,False,PASS
Stomach,AJCC8,clinical,T,Tis,True,False,PASS
Stomach,AJCC8,pathological,M,M1,True,False,PASS
Stomach,AJCC8,pathological,T,T1,True,False,PASS
Stomach,AJCC8,pathological,N,N0,True,False,PASS
Stomach,AJCC8,pathological,M,M0,True,False,PASS
Stomach,AJCC8,pathological,N,N1,True,False,PASS
Stomach,AJCC8,pathological,N,N2,True,False,PASS
Stomach,AJCC8,pathological,N,N3a,True,False,PASS
Stomach,AJCC8,pathological,N,N3b,True,False,PASS
Stomach,AJCC8,pathological,T,T1a,True,False,PASS
Stomach,AJCC8,pathological,T,T1b,True,False,PASS
Stomach,AJCC8,pathological,T,T2,True,False,PASS
Stomach,AJCC8,pathological,T,T3,True,False,PASS
Stomach,AJCC8,pathological,T,T4a,True,False,PASS
Stomach,AJCC8,pathological,T,T4b,True,False,PASS
Stomach,AJCC8,pathological,T,Tis,True,False,PASS
Stomach,AJCC8,yp,M,M1,True,False,PASS
Stomach,AJCC8,yp,T,T1,True,False,PASS
Stomach,AJCC8,yp,N,N0,True,False,PASS
Stomach,AJCC8,yp,M,M0,True,False,PASS
Stomach,AJCC8,yp,N,N1,True,False,PASS
Stomach,AJCC8,yp,N,N2,True,False,PASS
Stomach,AJCC8,yp,N,N3,True,False,PASS
Stomach,AJCC8,yp,T,T2,True,False,PASS
Stomach,AJCC8,yp,T,T3,True,False,PASS
Stomach,AJCC8,yp,T,T4a,True,False,PASS
Stomach,AJCC8,yp,T,T4b,True,False,PASS
Small intestine,AJCC8,any,M,M1,True,False,PASS
Small intestine,AJCC8,any,N,N1,True,False,PASS
Small intestine,AJCC8,any,M,M0,True,False,PASS
Small intestine,AJCC8,any,N,N2,True,False,PASS
Small intestine,AJCC8,any,T,T1,True,False,PASS
Small intestine,AJCC8,any,T,T2,True,False,PASS
Small intestine,AJCC8,any,N,N0,True,False,PASS
Small intestine,AJCC8,any,T,T3,True,False,PASS
Small intestine,AJCC8,any,T,T4,True,False,PASS
Small intestine,AJCC8,any,T,Tis,True,False,PASS
Colon,AJCC8,any,M,M1,True,False,PASS
Colon,AJCC8,any,M,M1a,True,False,PASS
Colon,AJCC8,any,M,M1b,True,False,PASS
Colon,AJCC8,any,M,M1c,True,False,PASS
Colon,AJCC8,any,T,T1,True,False,PASS
Colon,AJCC8,any,N,N2a,True,False,PASS
Colon,AJCC8,any,M,M0,True,False,PASS
Colon,AJCC8,any,T,T2,True,False,PASS
Colon,AJCC8,any,N,N0,True,False,PASS
Colon,AJCC8,any,N,N1,True,False,PASS
Colon,AJCC8,any,N,N1a,True,False,PASS
Colon,AJCC8,any,N,N1b,True,False,PASS
Colon,AJCC8,any,N,N1c,True,False,PASS
Colon,AJCC8,any,N,N2b,True,False,PASS
Colon,AJCC8,any,T,T3,True,False,PASS
Colon,AJCC8,any,T,T4a,True,False,PASS
Colon,AJCC8,any,T,T4b,True,False,PASS
Colon,AJCC8,any,N,N2,True,False,PASS
Colon,AJCC8,any,T,Tis,True,False,PASS
Rectum,AJCC8,any,M,M1,True,False,PASS
Rectum,AJCC8,any,M,M1a,True,False,PASS
Rectum,AJCC8,any,M,M1b,True,False,PASS
Rectum,AJCC8,any,M,M1c,True,False,PASS
Rectum,AJCC8,any,T,T1,True,False,PASS
Rectum,AJCC8,any,N,N2a,True,False,PASS
Rectum,AJCC8,any,M,M0,True,False,PASS
Rectum,AJCC8,any,T,T2,True,False,PASS
Rectum,AJCC8,any,N,N0,True,False,PASS
Rectum,AJCC8,any,N,N1,True,False,PASS
Rectum,AJCC8,any,N,N1a,True,False,PASS
Rectum,AJCC8,any,N,N1b,True,False,PASS
Rectum,AJCC8,any,N,N1c,True,False,PASS
Rectum,AJCC8,any,N,N2b,True,False,PASS
Rectum,AJCC8,any,T,T3,True,False,PASS
Rectum,AJCC8,any,T,T4a,True,False,PASS
Rectum,AJCC8,any,T,T4b,True,False,PASS
Rectum,AJCC8,any,N,N2,True,False,PASS
Rectum,AJCC8,any,T,Tis,True,False,PASS
Appendix - carcinoma,AJCC8,any,M,M1,True,False,PASS
Appendix - carcinoma,AJCC8,any,M,M1a,True,False,PASS
Appendix - carcinoma,AJCC8,any,M,M1b,True,False,PASS
Appendix - carcinoma,AJCC8,any,M,M1c,True,False,PASS
Appendix - carcinoma,AJCC8,any,N,N2,True,False,PASS
Appendix - carcinoma,AJCC8,any,M,M0,True,False,PASS
Appendix - carcinoma,AJCC8,any,T,T1,True,False,PASS
Appendix - carcinoma,AJCC8,any,T,T2,True,False,PASS
Appendix - carcinoma,AJCC8,any,N,N0,True,False,PASS
Appendix - carcinoma,AJCC8,any,N,N1,True,False,PASS
Appendix - carcinoma,AJCC8,any,N,N1a,True,False,PASS
Appendix - carcinoma,AJCC8,any,N,N1b,True,False,PASS
Appendix - carcinoma,AJCC8,any,N,N1c,True,False,PASS
Appendix - carcinoma,AJCC8,any,T,T3,True,False,PASS
Appendix - carcinoma,AJCC8,any,T,T4,True,False,PASS
Appendix - carcinoma,AJCC8,any,T,T4a,True,False,PASS
Appendix - carcinoma,AJCC8,any,T,T4b,True,False,PASS
Appendix - carcinoma,AJCC8,any,T,Tis,True,False,PASS
Appendix - carcinoma,AJCC8,any,T,Tis(LAMN),True,False,PASS
HCC / Liver,AJCC8,any,M,M1,True,False,PASS
HCC / Liver,AJCC8,any,N,N1,True,False,PASS
HCC / Liver,AJCC8,any,M,M0,True,False,PASS
HCC / Liver,AJCC8,any,T,T1,True,False,PASS
HCC / Liver,AJCC8,any,N,N0,True,False,PASS
HCC / Liver,AJCC8,any,T,T1a,True,False,PASS
