term,soc,version,aliases,g1,g2,g3,g4,g5,definition,note,page
Gastrointestinal stoma necrosis,"Injury, poisoning and procedural complications",CTCAE v5.0,,-,Superficial necrosis; intervention not indicated,Severe symptoms; hospitalization indicated; elective operative intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a necrotic process occurring in the gastrointestinal tract stoma.,-,72
Hip fracture,"Injury, poisoning and procedural complications",CTCAE v5.0,,-,Hairline fracture; mild pain; limiting instrumental ADL; non-operative intervention indicated,"Severe pain; hospitalization or intervention indicated for pain control (e.g., traction); operative intervention indicated",Life-threatening consequences; symptoms associated with neurovascular compromise,-,"A finding of traumatic injury to the hip in which the continuity of either the femoral head, femoral neck, intertrochanteric or subtrochanteric regions is broken.",-,73
Infusion related reaction,"Injury, poisoning and procedural complications",CTCAE v5.0,,Mild transient reaction; infusion interruption not indicated; intervention not indicated,"Therapy or infusion interruption indicated but responds promptly to symptomatic treatment (e.g., antihistamines, NSAIDS, narcotics, IV fluids); prophylactic medications indicated for ≤24 hrs","Prolonged (e.g., not rapidly responsive to symptomatic medication and/or brief interruption of infusion); recurrence of symptoms following initial improvement; hospitalization indicated for clinical sequelae",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by adverse reaction to the infusion of pharmacological or biological substances.,-,73
Injury to carotid artery,"Injury, poisoning and procedural complications",CTCAE v5.0,,-,Repair or revision not indicated,"Severe symptoms; limiting self care ADL (e.g., transient cerebral ischemia); repair or revision indicated",Life-threatening consequences; urgent intervention indicated,Death,A finding of damage to the carotid artery.,-,73
Injury to inferior vena cava,"Injury, poisoning and procedural complications",CTCAE v5.0,,Asymptomatic diagnostic finding; intervention not indicated,Symptomatic; repair or revision not indicated,Severe symptoms; limiting self care ADL; repair or revision indicated,Life-threatening consequences; urgent intervention indicated,Death,A finding of damage to the inferior vena cava.,-,73
Injury to jugular vein,"Injury, poisoning and procedural complications",CTCAE v5.0,,-,Repair or revision not indicated,Symptomatic limiting self care ADL; repair or revision indicated,Life-threatening consequences; urgent intervention indicated,Death,A finding of damage to the jugular vein.,-,73
Injury to superior vena cava,"Injury, poisoning and procedural complications",CTCAE v5.0,,Asymptomatic diagnostic finding; intervention not indicated,Symptomatic; repair or revision not indicated,Severe symptoms; limiting self care ADL; repair or revision indicated,Life-threatening consequences; urgent intervention indicated,Death,A finding of damage to the superior vena cava.,-,74
Intestinal stoma leak,"Injury, poisoning and procedural complications",CTCAE v5.0,,Asymptomatic diagnostic finding; intervention not indicated,Symptomatic; medical intervention indicated,Severe symptoms; invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A finding of leakage of contents from an intestinal stoma (surgically created opening on the surface of the body).,-,74
Intestinal stoma obstruction,"Injury, poisoning and procedural complications",CTCAE v5.0,,-,Self-limited; intervention not indicated,"Severe symptoms; IV fluids, tube feeding, or TPN indicated ≥24 hrs; elective operative intervention indicated",Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by blockage of the normal flow of the contents of the intestinal stoma.,-,74
Intestinal stoma site bleeding,"Injury, poisoning and procedural complications",CTCAE v5.0,,Minimal bleeding identified on clinical exam; intervention not indicated,Moderate bleeding; medical intervention indicated,Transfusion indicated; invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by bleeding from the intestinal stoma.,-,74
Intraoperative arterial injury,"Injury, poisoning and procedural complications",CTCAE v5.0,,Primary repair of injured organ/structure indicated,Partial resection of injured organ/structure indicated,Complete resection or reconstruction of injured organ/structure indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,A finding of damage to an artery during a surgical procedure.,-,74
Intraoperative breast injury,"Injury, poisoning and procedural complications",CTCAE v5.0,,Primary repair of injured organ/structure indicated,Partial resection of injured organ/structure indicated,Complete resection or reconstruction of injured organ/structure indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,A finding of damage to the breast parenchyma during a surgical procedure.,-,74
Intraoperative cardiac injury,"Injury, poisoning and procedural complications",CTCAE v5.0,,-,-,Primary repair of injured organ/structure indicated,Life-threatening consequences; urgent intervention indicated,Death,A finding of damage to the heart during a surgical procedure.,-,75
Intraoperative ear injury,"Injury, poisoning and procedural complications",CTCAE v5.0,,Primary repair of injured organ/structure indicated,Partial resection of injured organ/structure indicated,"Complete resection or reconstruction of injured organ/structure indicated; limiting self care ADL (e.g., impaired hearing; impaired balance)",Life-threatening consequences; urgent intervention indicated,Death,A finding of damage to the ear during a surgical procedure.,-,75
Intraoperative endocrine injury,"Injury, poisoning and procedural complications",CTCAE v5.0,,Primary repair of injured organ/structure indicated,Partial resection of injured organ/structure indicated,Complete resection or reconstruction of injured organ/structure indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,A finding of damage to the endocrine gland during a surgical procedure.,-,75
Intraoperative gastrointestinal injury,"Injury, poisoning and procedural complications",CTCAE v5.0,,Primary repair of injured organ/structure indicated,Partial resection of injured organ/structure indicated,Complete resection or reconstruction of injured organ/structure indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,A finding of damage to the gastrointestinal system during a surgical procedure.,-,75
Intraoperative head and neck injury,"Injury, poisoning and procedural complications",CTCAE v5.0,,Primary repair of injured organ/structure indicated,Partial resection of injured organ/structure indicated,Complete resection or reconstruction of injured organ/structure indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,A finding of damage to the head and neck during a surgical procedure.,-,75
Intraoperative hemorrhage,"Injury, poisoning and procedural complications",CTCAE v5.0,,-,-,Postoperative invasive intervention indicated; hospitalization,Life-threatening consequences; urgent intervention indicated,Death,A finding of uncontrolled bleeding during a surgical procedure.,-,75
Intraoperative hepatobiliary injury,"Injury, poisoning and procedural complications",CTCAE v5.0,,Primary repair of injured organ/structure indicated,Partial resection of injured organ/structure indicated,Complete resection or reconstruction of injured organ/structure indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,A finding of damage to the hepatic parenchyma and/or biliary tract during a surgical procedure.,-,76
Intraoperative musculoskeletal injury,"Injury, poisoning and procedural complications",CTCAE v5.0,,Primary repair of injured organ/structure indicated,Partial resection of injured organ/structure indicated,Complete resection or reconstruction of injured organ/structure indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,A finding of damage to the musculoskeletal system during a surgical procedure.,-,76
Intraoperative neurological injury,"Injury, poisoning and procedural complications",CTCAE v5.0,,Primary repair of injured organ/structure indicated,Partial resection of injured organ/structure indicated,Complete resection or reconstruction of injured organ/structure indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,A finding of damage to the nervous system during a surgical procedure.,-,76
Intraoperative ocular injury,"Injury, poisoning and procedural complications",CTCAE v5.0,,Primary repair of injured organ/structure indicated,Partial resection of injured organ/structure indicated,Complete resection or reconstruction of injured organ/structure indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,A finding of damage to the eye during a surgical procedure.,-,76
Intraoperative renal injury,"Injury, poisoning and procedural complications",CTCAE v5.0,,Primary repair of injured organ/structure indicated,Partial resection of injured organ/structure indicated,Complete resection or reconstruction of injured organ/structure indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,A finding of damage to the kidney during a surgical procedure.,-,76
Intraoperative reproductive tract injury,"Injury, poisoning and procedural complications",CTCAE v5.0,,Primary repair of injured organ/structure indicated,Partial resection of injured organ/structure indicated,Complete resection or reconstruction of injured organ/structure indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,A finding of damage to the reproductive organs during a surgical procedure.,-,76
Intraoperative respiratory injury,"Injury, poisoning and procedural complications",CTCAE v5.0,,Primary repair of injured organ/structure indicated,Partial resection of injured organ/structure indicated,Complete resection or reconstruction of injured organ/structure indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,A finding of damage to the respiratory system during a surgical procedure.,-,77
Intraoperative splenic injury,"Injury, poisoning and procedural complications",CTCAE v5.0,,-,Primary repair of injured organ/structure indicated,Resection or reconstruction of injured organ/structure indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,A finding of damage to the spleen during a surgical procedure.,-,77
Intraoperative urinary injury,"Injury, poisoning and procedural complications",CTCAE v5.0,,Primary repair of injured organ/structure indicated,Partial resection of injured organ/structure indicated,Complete resection or reconstruction of injured organ/structure indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,A finding of damage to the urinary system during a surgical procedure.,-,77
Intraoperative venous injury,"Injury, poisoning and procedural complications",CTCAE v5.0,,Primary repair of injured organ/structure indicated,Partial resection of injured organ/structure indicated,Complete resection or reconstruction of injured organ/structure indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,A finding of damage to a vein during a surgical procedure.,-,77
Kidney anastomotic leak,"Injury, poisoning and procedural complications",CTCAE v5.0,,Asymptomatic diagnostic finding; intervention not indicated,Symptomatic; medical intervention indicated,Severe symptoms; invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A finding of leakage of urine due to breakdown of a kidney anastomosis (surgical connection of two separate anatomic structures).,-,77
Large intestinal anastomotic leak,"Injury, poisoning and procedural complications",CTCAE v5.0,,Asymptomatic diagnostic finding; intervention not indicated,Symptomatic; medical intervention indicated,Severe symptoms; invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A finding of leakage due to breakdown of an anastomosis (surgical connection of two separate anatomic structures) in the large intestine.,-,77
Pancreatic anastomotic leak,"Injury, poisoning and procedural complications",CTCAE v5.0,,Asymptomatic diagnostic finding; intervention not indicated,Symptomatic; medical intervention indicated,Severe symptoms; invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A finding of leakage due to breakdown of a pancreatic anastomosis (surgical connection of two separate anatomic structures).,-,78
Pharyngeal anastomotic leak,"Injury, poisoning and procedural complications",CTCAE v5.0,,Asymptomatic diagnostic finding; intervention not indicated,Symptomatic; medical intervention indicated,Severe symptoms; invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A finding of leakage due to breakdown of a pharyngeal anastomosis (surgical connection of two separate anatomic structures).,-,78
Postoperative hemorrhage,"Injury, poisoning and procedural complications",CTCAE v5.0,,Mild symptoms; intervention not indicated,Moderate bleeding requiring transfusion < 2 units (10 cc/kg for pediatrics) of pRBCs,Transfusion indicated of ≥2 units (10 cc/kg for pediatrics) pRBCs; invasive intervention indicated; hospitalization,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by bleeding occurring after a surgical procedure.,-,78
Postoperative thoracic procedure complication,"Injury, poisoning and procedural complications",CTCAE v5.0,,-,Extubated within 24 - 72 hrs postoperatively,"Extubated >72 hrs postoperatively, but before tracheostomy indicated","Life-threatening airway compromise; urgent intervention indicated (e.g., tracheotomy or intubation)",Death,A finding of a previously undocumented problem that occurs after a thoracic procedure.,-,78
Prolapse of intestinal stoma,"Injury, poisoning and procedural complications",CTCAE v5.0,,Asymptomatic; reducible,Recurrent after manual reduction; local irritation or stool leakage; difficulty to fit appliance; limiting instrumental ADL,Severe symptoms; elective operative intervention indicated; limiting self care ADL,Life-threatening consequences; urgent operative intervention indicated,Death,A finding of protrusion of the intestinal stoma (surgically created opening on the surface of the body) above the abdominal surface.,-,78
Prolapse of urostomy,"Injury, poisoning and procedural complications",CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Local care or maintenance; minor revision indicated,Dysfunctional stoma; elective operative intervention or major stomal revision indicated,Life-threatening consequences; urgent intervention indicated,Death,A finding of displacement of the urostomy.,-,78
Radiation recall reaction (dermatologic),"Injury, poisoning and procedural complications",CTCAE v5.0,,Faint erythema or dry desquamation,"Moderate to brisk erythema; patchy moist desquamation, mostly confined to skin folds and creases; moderate edema",Moist desquamation in areas other than skin folds and creases; bleeding induced by minor trauma or abrasion,Life-threatening consequences; skin necrosis or ulceration of full thickness dermis; spontaneous bleeding from involved site; skin graft indicated,Death,"A finding of acute skin inflammatory reaction caused by drugs, especially chemotherapeutic agents, for weeks or months following radiotherapy. The inflammatory reaction is confined to the previously irradiated skin and the symptoms disappear after the removal of the pharmaceutical agent.",-,79
Rectal anastomotic leak,"Injury, poisoning and procedural complications",CTCAE v5.0,,Asymptomatic diagnostic finding; intervention not indicated,Symptomatic; medical intervention indicated,Severe symptoms; invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A finding of leakage due to breakdown of a rectal anastomosis (surgical connection of two separate anatomic structures).,-,79
Seroma,"Injury, poisoning and procedural complications",CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; simple aspiration indicated,"Symptomatic, elective invasive intervention indicated",-,-,A finding of tumor-like collection of serum in the tissues.,-,79
Small intestinal anastomotic leak,"Injury, poisoning and procedural complications",CTCAE v5.0,,Asymptomatic diagnostic finding; intervention not indicated,Symptomatic; medical intervention indicated,Severe symptoms; invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A finding of leakage due to breakdown of an anastomosis (surgical connection of two separate anatomic structures) in the small bowel.,-,79
Spermatic cord anastomotic leak,"Injury, poisoning and procedural complications",CTCAE v5.0,,Asymptomatic diagnostic finding; intervention not indicated,Symptomatic; medical intervention indicated,Severe symptoms; invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A finding of leakage due to breakdown of a spermatic cord anastomosis (surgical connection of two separate anatomic structures).,-,79
Spinal fracture,"Injury, poisoning and procedural complications",CTCAE v5.0,,Mild back pain; nonprescription analgesics indicated,Moderate back pain; prescription analgesics indicated; limiting instrumental ADL,"Severe back pain; hospitalization or intervention indicated for pain control (e.g., vertebroplasty); limiting self care ADL; disability",Life-threatening consequences; symptoms associated with neurovascular compromise,Death,A finding of traumatic injury to the spine in which the continuity of a vertebral bone is broken.,-,80
Stenosis of gastrointestinal stoma,"Injury, poisoning and procedural complications",CTCAE v5.0,,-,Symptomatic; IV fluids indicated <24 hrs; manual dilation at bedside,"Severely altered GI function; tube feeding, TPN or hospitalization indicated; elective operative intervention indicated",Life-threatening consequences; urgent operative intervention indicated,Death,A finding of narrowing of the gastrointestinal stoma (surgically created opening on the surface of the body).,-,80
Stomal ulcer,"Injury, poisoning and procedural complications",CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; medical intervention indicated,Severe symptoms; elective operative intervention indicated,-,-,"A disorder characterized by a circumscribed, erosive lesion on the jejunal mucosal surface close to the anastomosis site following a gastroenterostomy procedure.",-,80
Tracheal hemorrhage,"Injury, poisoning and procedural complications",CTCAE v5.0,,Mild symptoms; intervention not indicated,Moderate symptoms; intervention indicated,Transfusion indicated; invasive intervention indicated; hospitalization,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by bleeding from the trachea.,-,80
Tracheal obstruction,"Injury, poisoning and procedural complications",CTCAE v5.0,,"Partial asymptomatic obstruction on examination (e.g., visual, radiologic or endoscopic)","Symptomatic (e.g., noisy airway breathing), no respiratory distress; medical intervention indicated (e.g., steroids); limiting instrumental ADL","Stridor or respiratory distress limiting self care ADL; invasive intervention indicated (e.g., stent, laser)","Life-threatening airway compromise; urgent intervention indicated (e.g., tracheotomy or intubation)",Death,A disorder characterized by blockage of the lumen of the trachea.,-,80
Tracheostomy site bleeding,"Injury, poisoning and procedural complications",CTCAE v5.0,,Minimal bleeding identified on clinical exam; intervention not indicated,Moderate bleeding; medical intervention indicated,Transfusion indicated; invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by bleeding from the tracheostomy site.,-,80
Ureteric anastomotic leak,"Injury, poisoning and procedural complications",CTCAE v5.0,,Asymptomatic diagnostic finding; intervention not indicated,Symptomatic; medical intervention indicated,Severe symptoms; invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A finding of leakage due to breakdown of a ureteral anastomosis (surgical connection of two separate anatomic structures).,-,81
Urethral anastomotic leak,"Injury, poisoning and procedural complications",CTCAE v5.0,,Asymptomatic diagnostic finding; intervention not indicated,Symptomatic; medical intervention indicated,Severe symptoms; invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A finding of leakage due to breakdown of a urethral anastomosis (surgical connection of two separate anatomic structures).,-,81
Urostomy leak,"Injury, poisoning and procedural complications",CTCAE v5.0,,Asymptomatic diagnostic finding; intervention not indicated,Symptomatic; medical intervention indicated,Severe symptoms; invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A finding of leakage of contents from a urostomy.,-,81
Urostomy obstruction,"Injury, poisoning and procedural complications",CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; dilation or endoscopic repair or stent placement indicated,"Altered organ function (e.g., sepsis or hydronephrosis, or renal dysfunction); elective operative intervention indicated",Life-threatening consequences; organ failure; urgent operative intervention indicated,Death,A disorder characterized by blockage of the urostomy.,-,81
Urostomy site bleeding,"Injury, poisoning and procedural complications",CTCAE v5.0,,Minimal bleeding identified on clinical exam; intervention not indicated,Moderate bleeding; medical intervention indicated,Transfusion indicated; invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by bleeding from the urostomy site.,-,81
Urostomy stenosis,"Injury, poisoning and procedural complications",CTCAE v5.0,,-,"Symptomatic but no hydronephrosis, sepsis, or renal dysfunction; dilation or endoscopic repair or stent placement indicated","Symptomatic (e.g., hydronephrosis, or renal dysfunction); elective operative intervention indicated",Life-threatening consequences; urgent operative intervention indicated,Death,A finding of narrowing of the opening of a urostomy.,-,81
Uterine anastomotic leak,"Injury, poisoning and procedural complications",CTCAE v5.0,,Asymptomatic diagnostic finding; intervention not indicated,Symptomatic; medical intervention indicated,Severe symptoms; invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A finding of leakage due to breakdown of a uterine anastomosis (surgical connection of two separate anatomic structures).,-,82
Uterine perforation,"Injury, poisoning and procedural complications",CTCAE v5.0,,-,Invasive intervention not indicated,Invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a rupture in the uterine wall.,-,82
Vaccination complication,"Injury, poisoning and procedural complications",CTCAE v5.0,,Mild pain; erythema 2.5-5cm; induration/swelling 2.5-5cm; does not interfere with activity,Moderate pain; Erythema 5.1- 10 cm; Induration/swelling 5.1-10 cm; lipodystrophy; limiting instrumental ADL,Severe pain; Erythema > 10 cm; Induration/swelling > 10 cm; necrosis; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,-,"A disorder that occurs after the injection of a substance with antigenic properties, administered to activate the immune system.","For systemic vaccination complications, consider Immune system disorders: Allergic reaction or Anaphylaxis.",82
Vaginal anastomotic leak,"Injury, poisoning and procedural complications",CTCAE v5.0,,Asymptomatic diagnostic finding; intervention not indicated,Symptomatic; medical intervention indicated,Severe symptoms; invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A finding of leakage due to breakdown of a vaginal anastomosis (surgical connection of two separate anatomic structures).,-,82
Vas deferens anastomotic leak,"Injury, poisoning and procedural complications",CTCAE v5.0,,Asymptomatic diagnostic finding; intervention not indicated,Symptomatic; medical intervention indicated,Severe symptoms; invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A finding of leakage due to breakdown of a vas deferens anastomosis (surgical connection of two separate anatomic structures).,-,82
Vascular access complication,"Injury, poisoning and procedural complications",CTCAE v5.0,,TPA administration into line with no intent for systemic therapy indicated,"Device dislodgement, blockage, leak, or malposition; device replacement indicated","Pulmonary embolism, deep vein or cardiac thrombosis; intervention indicated (e.g., anticoagulation, lysis, filter, invasive procedure)",Life-threatening consequences with hemodynamic or neurologic instability,Death,A finding of a previously undocumented problem related to the vascular access site.,-,82
Venous injury,"Injury, poisoning and procedural complications",CTCAE v5.0,,Asymptomatic diagnostic finding; intervention not indicated,"Symptomatic (e.g., claudication); repair or revision not indicated",Severe symptoms; limiting self care ADL; repair or revision indicated,Life-threatening consequences; evidence of end organ damage; urgent operative intervention indicated,Death,A finding of damage to a vein.,-,83
Wound complication,"Injury, poisoning and procedural complications",CTCAE v5.0,,Observation only; topical intervention indicated,Bedside local care indicated,Operative intervention indicated,Life-threatening consequences,Death,A finding of development of a new problem at the site of an existing wound.,"Prior to using this term consider Injury, poisoning and procedural complications: Wound dehiscence or Infections and infestations: Wound infection",83
Wound dehiscence,"Injury, poisoning and procedural complications",CTCAE v5.0,,"Incisional separation, intervention not indicated","Incisional separation, local care (e.g., suturing) or medical intervention indicated (e.g., analgesic)",Fascial disruption or dehiscence without evisceration; revision by operative intervention indicated,"Life-threatening consequences; symptomatic hernia with evidence of strangulation; fascial disruption with evisceration; major reconstruction flap, grafting, resection, or amputation indicated",Death,A finding of separation of the approximated margins of a surgical wound.,Also consider Infections and infestations: Wound infection,83
Wrist fracture,"Injury, poisoning and procedural complications",CTCAE v5.0,,Mild; non-operative intervention indicated,Limiting instrumental ADL; outpatient operative intervention indicated,Limiting self care ADL; elective operative intervention indicated requiring hospitalization,-,-,A finding of traumatic injury to the wrist joint in which the continuity of a wrist bone is broken.,-,83
"Injury, poisoning and procedural complications - Other, specify","Injury, poisoning and procedural complications",CTCAE v5.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,-,-,83
Activated partial thromboplastin time prolonged,Investigations,CTCAE v5.0,,>ULN - 1.5 × ULN,>1.5 - 2.5 × ULN,>2.5 × ULN; bleeding,-,-,"A finding based on laboratory test results in which the partial thromboplastin time is found to be greater than the control value. As a possible indicator of coagulopathy, a prolonged partial thromboplastin time (PTT) may occur in a variety of diseases and disorders, both primary and related to treatment.",-,84
Alanine aminotransferase increased,Investigations,CTCAE v5.0,,>ULN - 3.0 × ULN if baseline was normal; 1.5 - 3.0 × baseline if baseline was abnormal,>3.0 - 5.0 × ULN if baseline was normal; >3.0 - 5.0 × baseline if baseline was abnormal,>5.0 - 20.0 × ULN if baseline was normal; >5.0 - 20.0 × baseline if baseline was abnormal,>20.0 × ULN if baseline was normal; >20.0 × baseline if baseline was abnormal,-,A finding based on laboratory test results that indicate an increase in the level of alanine aminotransferase (ALT or SGPT) in the blood specimen.,Also consider Hepatobiliary disorders: Hepatic failure,84
Alkaline phosphatase increased,Investigations,CTCAE v5.0,,>ULN - 2.5 × ULN if baseline was normal; 2.0 - 2.5 × baseline if baseline was abnormal,>2.5 - 5.0 × ULN if baseline was normal; >2.5 - 5.0 × baseline if baseline was abnormal,>5.0 - 20.0 × ULN if baseline was normal; >5.0 - 20.0 × baseline if baseline was abnormal,>20.0 × ULN if baseline was normal; >20.0 × baseline if baseline was abnormal,-,A finding based on laboratory test results that indicate an increase in the level of alkaline phosphatase in a blood specimen.,-,84
Aspartate aminotransferase increased,Investigations,CTCAE v5.0,,>ULN - 3.0 × ULN if baseline was normal; 1.5 - 3.0 × baseline if baseline was abnormal,>3.0 - 5.0 × ULN if baseline was normal; >3.0 - 5.0 × baseline if baseline was abnormal,>5.0 - 20.0 × ULN if baseline was normal; >5.0 - 20.0 × baseline if baseline was abnormal,>20.0 × ULN if baseline was normal; >20.0 × baseline if baseline was abnormal,-,A finding based on laboratory test results that indicate an increase in the level of aspartate aminotransferase (AST or SGOT) in a blood specimen.,Also consider Hepatobiliary disorders: Hepatic failure,84
Blood antidiuretic hormone abnormal,Investigations,CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; medical intervention indicated,Hospitalization indicated,-,-,A finding based on laboratory test results that indicate abnormal levels of antidiuretic hormone in the blood specimen.,-,84
Blood bicarbonate decreased,Investigations,CTCAE v5.0,,<LLN and no intervention initiated,-,-,-,-,A finding based on laboratory test results that indicate a decrease in levels of bicarbonate in a venous blood specimen.,Also consider Metabolism and nutrition disorders: Acidosis or Alkalosis,84
Blood bilirubin increased,Investigations,CTCAE v5.0,,>ULN - 1.5 × ULN if baseline was normal; > 1.0 - 1.5 × baseline if baseline was abnormal,>1.5 - 3.0 × ULN if baseline was normal; >1.5 - 3.0 × baseline if baseline was abnormal,>3.0 - 10.0 × ULN if baseline was normal; >3.0 - 10.0 × baseline if baseline was abnormal,>10.0 × ULN if baseline was normal; >10.0 × baseline if baseline was abnormal,-,A finding based on laboratory test results that indicate an abnormally high level of bilirubin in the blood. Excess bilirubin is associated with jaundice.,Also consider Hepatobiliary disorders: Hepatic failure,85
Blood corticotrophin decreased,Investigations,CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; medical intervention indicated,Hospitalization indicated,-,-,A finding based on laboratory test results that indicate an decrease in levels of corticotrophin in a blood specimen.,-,85
Blood gonadotrophin abnormal,Investigations,CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; medical intervention indicated; limiting instrumental ADL,Severe symptoms; limiting self care ADL,-,-,A finding based on laboratory test results that indicate abnormal levels of gonadotrophin hormone in a blood specimen.,-,85
Blood lactate dehydrogenase increased,Investigations,CTCAE v5.0,,>ULN,-,-,-,-,A finding based on laboratory test results that indicate increased levels of lactate dehydrogenase in the blood specimen.,-,85
Blood prolactin abnormal,Investigations,CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Moderate symptoms; limiting instrumental ADL,-,-,-,A finding based on laboratory test results that indicate abnormal levels of prolactin hormone in a blood specimen.,-,85
Carbon monoxide diffusing capacity decreased,Investigations,CTCAE v5.0,,"3 - 5 units below LLN; for follow-up, a decrease of 3 - 5 units (ml/min/mm Hg) below the baseline value; asymptomatic and intervention not indicated","6 - 8 units below LLN; for follow-up, an asymptomatic decrease of >5 - 8 units (ml/min/mm Hg) below the baseline value; symptomatic and intervention not indicated","Asymptomatic decrease of >8 units drop; >5 units drop along with the presence of pulmonary symptoms (e.g., >Grade 2 hypoxia or >Grade 2 dyspnea); intervention indicated",-,-,A finding based on lung function test results that indicate a decrease in the lung capacity to absorb carbon monoxide.,"Also consider Respiratory, thoracic and mediastinal disorders: Respiratory failure or Dyspnea",85
Cardiac troponin I increased,Investigations,CTCAE v5.0,,Levels above the upper limit of normal and below the level of myocardial infarction as defined by the manufacturer,-,Levels consistent with myocardial infarction as defined by the manufacturer,-,-,A finding based on laboratory test results that indicate increased levels of cardiac troponin I in a biological specimen.,Also consider Cardiac disorders: Heart failure or Cardiac disorders: Myocardial infarction. Report Cardiac disorders: Heart failure or Cardiac disorders: Myocardial infarction if same grade event.,86
Cardiac troponin T increased,Investigations,CTCAE v5.0,,Levels above the upper limit of normal and below the level of myocardial infarction as defined by the manufacturer,-,Levels consistent with myocardial infarction as defined by the manufacturer,-,-,A finding based on laboratory test results that indicate increased levels of cardiac troponin T in a biological specimen.,Also consider Cardiac disorders: Heart failure or Cardiac disorders: Myocardial infarction. Report Cardiac disorders: Heart failure or Cardiac disorders: Myocardial infarction if same grade event.,86
CD4 lymphocytes decreased,Investigations,CTCAE v5.0,,<LLN - 500/mm3; <LLN - 0.5 × 10^9 /L,<500 - 200/mm3; <0.5 - 0.2 × 10^9 /L,<200 - 50/mm3; <0.2 × 0.05 - 10^9 /L,<50/mm3; <0.05 × 10^9 /L,-,A finding based on laboratory test results that indicate an decrease in levels of CD4 lymphocytes in a blood specimen.,-,86
Cholesterol high,Investigations,CTCAE v5.0,,>ULN - 300 mg/dL; >ULN - 7.75 mmol/L,>300 - 400 mg/dL; >7.75 - 10.34 mmol/L,>400 - 500 mg/dL; >10.34 - 12.92 mmol/L,>500 mg/dL; >12.92 mmol/L,-,A finding based on laboratory test results that indicate higher than normal levels of cholesterol in a blood specimen.,-,86
