site,edition,definition_rows,strict_table_rows,fallback_review_rows
Male Penile and Female Urethra: Squamous Cell Carcinoma and Adenocarcinoma,AJCC8,8,0,8
Malignant Pleural Mesothelioma,AJCC7,24,0,24
Malignant Pleural Mesothelioma,AJCC8,10,10,0
Maxillary Sinus,AJCC7,12,0,12
Maxillary Sinus,AJCC8,3,0,3
Melanoma of the Skin,AJCC7,21,0,21
Merkel Cell Carcinoma,AJCC7,24,0,24
Mucosal Melanoma of the Head and Neck,AJCC7,8,0,8
NET - appendix,AJCC7,25,0,25
NET - appendix,AJCC8,19,0,19
NET - colon / rectum,AJCC7,9,0,9
NET - colon / rectum,AJCC8,10,0,10
NET - duodenum / ampulla,AJCC7,9,0,9
NET - duodenum / ampulla,AJCC8,8,0,8
NET - jejunum / ileum,AJCC7,9,0,9
NET - jejunum / ileum,AJCC8,12,0,12
NET - pancreas,AJCC7,36,0,36
NET - pancreas,AJCC8,8,0,8
NET - stomach,AJCC7,9,0,9
NET - stomach,AJCC8,11,0,11
Nasal Cavity and Ethmoid Sinus,AJCC7,12,0,12
Nasal Cavity and Ethmoid Sinus,AJCC8,3,0,3
Nasal Cavity and Paranasal Sinuses,AJCC8,2,2,0
Nasopharynx,AJCC7,24,0,24
Nasopharynx,AJCC8,14,14,0
Neuroendocrine Tumors of the Appendix,AJCC8,14,14,0
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,16,16,0
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,15,15,0
Neuroendocrine Tumors of the Pancreas,AJCC8,5,5,0
Neuroendocrine Tumors of the Stomach,AJCC8,14,14,0
Ocular Adnexal Lymphoma,AJCC8,18,18,0
Oral Cavity,AJCC7,12,0,12
Oral Cavity,AJCC8,31,23,8
Oropharynx (p16-),AJCC7,24,0,24
Oropharynx (p16-) and Hypopharynx,AJCC8,23,23,0
"Ovary, Fallopian Tube and Primary Peritoneal Carcinoma",AJCC7,20,0,20
"Ovary, Fallopian Tube and Primary Peritoneal Carcinoma",AJCC8,6,0,6
"Ovary, Fallopian Tube, and Primary Peritoneal Carcinoma",AJCC8,23,23,0
Penis,AJCC7,29,0,29
Penis,AJCC8,17,12,5
Perihilar bile duct,AJCC7,12,0,12
Perihilar bile duct,AJCC8,12,0,12
Primary Cutaneous Lymphoma: Mycosis Fungoides and Sézary Syndrome,AJCC8,4,0,4
Primary Cutaneous Lymphoma: Primary Cutaneous B-Cell/T-Cell (non-MF/SS),AJCC8,4,0,4
Primary Cutaneous Lymphomas,AJCC8,27,27,0
Prostate,AJCC7,25,0,25
Prostate,AJCC8,16,13,3
Prostatic Urethra: Squamous Cell Carcinoma and Adenocarcinoma,AJCC7,14,0,14
Prostatic Urethra: Squamous Cell Carcinoma and Adenocarcinoma,AJCC8,8,0,8
Prostatic Urethra: Urothelial Carcinomas,AJCC7,14,0,14
Prostatic Urethra: Urothelial Carcinomas,AJCC8,8,0,8
Rectum,AJCC7,20,0,20
Rectum,AJCC8,19,0,19
Renal Pelvis and Ureter,AJCC7,24,0,24
Renal Pelvis and Ureter,AJCC8,14,13,1
Retinoblastoma,AJCC8,42,41,1
Small Intestine: Other Histologies,AJCC7,20,0,20
Small Intestine: Other Histologies,AJCC8,10,0,10
Small intestine,AJCC7,20,0,20
Small intestine,AJCC8,10,0,10
Soft Tissue Sarcoma of the Abdomen and Thoracic Visceral Organs,AJCC7,16,0,16
Soft Tissue Sarcoma of the Head and Neck,AJCC7,16,0,16
Soft Tissue Sarcoma of the Retroperitoneum,AJCC7,16,0,16
Soft Tissue Sarcoma of the Trunk and Extremities,AJCC7,16,0,16
Soft Tissue Sarcoma – Unusual Histologies and Sites,AJCC7,16,0,16
Stomach,AJCC7,12,0,12
Stomach,AJCC8,38,0,38
Testis,AJCC7,14,0,14
Testis,AJCC8,18,18,0
Thyroid - Differentiated and Anaplastic Carcinoma,AJCC8,19,19,0
Thyroid - Medullary,AJCC8,19,19,0
Thyroid – Anaplastic,AJCC7,10,0,10
Thyroid – Anaplastic,AJCC8,8,0,8
Thyroid – Differentiated,AJCC7,10,0,10
Thyroid – Differentiated,AJCC8,8,0,8
Thyroid – Medullary,AJCC7,10,0,10
Thyroid – Medullary,AJCC8,1,0,1
Urethra,AJCC8,13,13,0
Urinary Bladder,AJCC8,22,22,0
Urinary Bladder: Squamous Cell Carcinoma and Adenocarcinoma,AJCC7,30,0,30
